Bound,Leave Windward P&R,Arrive North Springs,Route
Southbound,5:23 AM,5:40 AM,143
Southbound,5:29 AM,6:15 AM,141
Southbound,6:03 AM,6:25 AM,143
Southbound,6:05 AM,6:55 AM,141
Southbound,6:39 AM,7:15 AM,140
Southbound,6:43 AM,7:10 AM,143
Southbound,6:49 AM,7:35 AM,141
Southbound,7:19 AM,7:55 AM,140
Southbound,7:25 AM,8:15 AM,141
Southbound,7:28 AM,7:55 AM,143
Southbound,7:59 AM,8:35 AM,140
Southbound,8:09 AM,8:55 AM,141
Southbound,8:10 AM,8:40 AM,143
Southbound,8:43 AM,9:20 AM,140
Southbound,8:45 AM,9:35 AM,141
Southbound,8:57 AM,9:25 AM,143
Southbound,9:23 AM,10:00 AM,140
Southbound,9:26 AM,10:15 AM,141
Southbound,9:42 AM,10:10 AM,143
Southbound,10:03 AM,10:40 AM,140
Southbound,10:05 AM,10:55 AM,141
Southbound,10:43 AM,11:20 AM,140
Southbound,10:46 AM,11:35 AM,141
Southbound,11:23 AM,12:00 PM,140
Southbound,11:25 AM,12:15 PM,141
Southbound,12:03 PM,12:40 PM,140
Southbound,12:06 PM,12:55 PM,141
Southbound,12:43 PM,1:20 PM,140
Southbound,12:45 PM,1:35 PM,141
Southbound,1:23 PM,2:00 PM,140
Southbound,1:26 PM,2:15 PM,141
Southbound,2:03 PM,2:40 PM,140
Southbound,2:05 PM,2:55 PM,141
Southbound,2:43 PM,3:25 PM,140
Southbound,2:50 PM,3:35 PM,141
Southbound,3:02 PM,3:40 PM,143
Southbound,3:23 PM,4:05 PM,140
Southbound,3:24 PM,4:15 PM,141
Southbound,3:47 PM,4:25 PM,143
Southbound,4:08 PM,4:50 PM,140
Southbound,4:10 PM,4:55 PM,141
Southbound,4:32 PM,5:10 PM,143
Southbound,4:44 PM,5:35 PM,141
Southbound,4:48 PM,5:30 PM,140
Southbound,5:17 PM,5:55 PM,143
Southbound,5:30 PM,6:15 PM,141
Southbound,5:33 PM,6:15 PM,140
Southbound,6:02 PM,6:40 PM,143
Southbound,6:04 PM,6:55 PM,141
Southbound,6:13 PM,6:50 PM,140
Southbound,6:50 PM,7:25 PM,143
Southbound,6:53 PM,7:25 PM,140
Southbound,6:56 PM,7:35 PM,141
Southbound,7:28 PM,8:15 PM,141
Southbound,7:33 PM,8:05 PM,140
Southbound,7:35 PM,8:10 PM,143
Southbound,8:13 PM,8:45 PM,140
Southbound,8:16 PM,8:55 PM,141
Southbound,8:53 PM,9:25 PM,140
Southbound,8:54 PM,9:35 PM,141
Southbound,9:33 PM,10:05 PM,140
Southbound,9:36 PM,10:15 PM,141
Southbound,10:13 PM,10:45 PM,140
Southbound,10:14 PM,10:55 PM,141
Southbound,10:53 PM,11:25 PM,140
Southbound,10:56 PM,11:35 PM,141
Southbound,11:34 PM,12:15 AM,141
